CountyFIPS,StateName,CountyName,MNI,AFO
06083,California,Santa Barbara,2,0
12087,Florida,Monroe,1,1
13059,Georgia,Clarke,4,0
16017,Idaho,Bonner,1,0
17001,Illinois,Adams,104,41
17013,Illinois,Calhoun,448,28
17023,Illinois,Clark,3,0
17027,Illinois,Clinton,10,0
17031,Illinois,Cook,1,0
17033,Illinois,Crawford,2,1
17057,Illinois,Fulton,689,72
17061,Illinois,Greene,743,0
17069,Illinois,Hardin,39,0
17075,Illinois,Iroquois,1,0
17077,Illinois,Jackson,9,0
17083,Illinois,Jersey,7,0
17099,Illinois,La Salle,51,0
17119,Illinois,Madison,1,0
17123,Illinois,Marshall,6,0
17125,Illinois,Mason,23,0
17127,Illinois,Massac,13,0
17137,Illinois,Morgan,2,0
17141,Illinois,Ogle,1,0
17143,Illinois,Peoria,9,0
17149,Illinois,Pike,633,0
17151,Illinois,Pope,1,0
17153,Illinois,Pulaski,1,0
17157,Illinois,Randolph,7,0
17161,Illinois,Rock Island,1,2
17163,Illinois,St. Clair,9,3
17169,Illinois,Schuyler,20,0
17179,Illinois,Tazewell,1,0
17193,Illinois,White,41,1
17197,Illinois,Will,502,0
17199,Illinois,Williamson,1,0
17201,Illinois,Winnebago,1,0
18005,Indiana,Bartholomew,33,164
18009,Indiana,Blackford,4,105
18019,Indiana,Clark,97,1540
18021,Indiana,Clay,1,1
18025,Indiana,Crawford,7,8
18027,Indiana,Daviess,40,143
18029,Indiana,Dearborn,89,941
18033,Indiana,De Kalb,1,124
18037,Indiana,Dubois,6,15
18043,Indiana,Floyd,4,11
18047,Indiana,Franklin,36,1123
18049,Indiana,Fulton,3,0
18051,Indiana,Gibson,3,0
18055,Indiana,Greene,103,684
18057,Indiana,Hamilton,32,177
18059,Indiana,Hancock,1,0
18061,Indiana,Harrison,15,1
18063,Indiana,Hendricks,1,0
18069,Indiana,Huntington,4,0
18071,Indiana,Jackson,12,144
18077,Indiana,Jefferson,2,0
18079,Indiana,Jennings,20,0
18083,Indiana,Knox,6,0
18085,Indiana,Kosciusko,13,10
18089,Indiana,Lake,3,0
18093,Indiana,Lawrence,24,4
18097,Indiana,Marion,68,345
18099,Indiana,Marshall,2,0
18101,Indiana,Martin,1,0
18105,Indiana,Monroe,2,0
18107,Indiana,Montgomery,2,0
18113,Indiana,Noble,3,0
18115,Indiana,Ohio,1,4
18117,Indiana,Orange,2,4
18119,Indiana,Owen,1,0
18121,Indiana,Parke,4,640
18123,Indiana,Perry,55,9
18125,Indiana,Pike,7,3
18127,Indiana,Porter,8,0
18129,Indiana,Posey,87,0
18137,Indiana,Ripley,2,0
18139,Indiana,Rush,7,3
18141,Indiana,St. Joseph,4,26
18145,Indiana,Shelby,3,0
18147,Indiana,Spencer,127,163
18153,Indiana,Sullivan,54,545
18157,Indiana,Tippecanoe,5,0
18163,Indiana,Vanderburgh,6,0
18165,Indiana,Vermillion,22,37
18167,Indiana,Vigo,5,1
18173,Indiana,Warrick,147,409
18181,Indiana,White,10,12
21047,Kentucky,Christian,1,0
21055,Kentucky,Crittenden,1,0
21091,Kentucky,Hancock,2,0
21101,Kentucky,Henderson,14,0
21163,Kentucky,Meade,1,0
21225,Kentucky,Union,2,0
29095,Missouri,Jackson,2,0
39061,Ohio,Hamilton,3,0
39091,Ohio,Logan,21,3
39093,Ohio,Lorain,3,1
39129,Ohio,Pickaway,1,0
42075,Pennsylvania,Lebanon,1,0
