MNI,AFO,StateName,CountyName,CountyFIPS
1,0,Indiana,Vanderburgh,18163
1,0,Indiana,Vanderburgh,18163
1,0,Indiana,Marshall,18099
2,0,Indiana,Ripley,18137
1,1,Florida,Monroe,12087
1,0,Indiana,Harrison,18061
1,0,Indiana,Harrison,18061
3,0,Indiana,Harrison,18061
1,0,Indiana,Harrison,18061
1,0,Illinois,Madison,17119
1,0,Indiana,Franklin,18047
3,0,Indiana,Huntington,18069
1,0,Indiana,Huntington,18069
2,0,Indiana,Jefferson,18077
1,0,Indiana,Rush,18139
6,3,Indiana,Rush,18139
1,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
43,40,Indiana,Spencer,18147
2,0,Indiana,Spencer,18147
6,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
6,0,Indiana,Spencer,18147
2,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
12,665,Indiana,Greene,18055
2,0,Indiana,Greene,18055
4,0,Indiana,Porter,18127
2,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
4,0,Indiana,Spencer,18147
3,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
4,0,Indiana,Spencer,18147
3,0,Indiana,Spencer,18147
2,0,Indiana,Hamilton,18057
2,7,Indiana,Hamilton,18057
1,11,Indiana,Floyd,18043
3,0,Indiana,Floyd,18043
2,0,Indiana,Bartholomew,18005
30,164,Indiana,Bartholomew,18005
25,155,Indiana,Hamilton,18057
1,0,Indiana,Bartholomew,18005
3,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
8,17,Indiana,Daviess,18027
1,0,Indiana,Daviess,18027
1,0,Indiana,Spencer,18147
2,0,Indiana,Spencer,18147
1,0,Indiana,Spencer,18147
2,0,Indiana,Spencer,18147
4,0,Indiana,Daviess,18027
1,0,Indiana,Spencer,18147
2,0,Indiana,Spencer,18147
14,0,Indiana,Spencer,18147
11,123,Indiana,Spencer,18147
1,0,Indiana,Lake,18089
1,0,Indiana,Vigo,18167
1,0,Indiana,Lake,18089
1,0,Kentucky,Crittenden,21055
1,0,Indiana,Noble,18113
1,124,Indiana,De Kalb,18033
1,0,Indiana,Hendricks,18063
4,0,Indiana,Knox,18083
2,0,Indiana,Clark,18019
4,81,Indiana,Clark,18019
1,1,Indiana,Clark,18019
1,0,Indiana,Clark,18019
1,0,Indiana,Marion,18097
7,33,Indiana,Marion,18097
3,10,Indiana,Marion,18097
12,0,Indiana,Marion,18097
1,0,Indiana,Marion,18097
1,4,Indiana,Marion,18097
2,0,Indiana,Marion,18097
1,0,Indiana,Marion,18097
1,1,Indiana,Clay,18021
3,26,Indiana,St. Joseph,18141
1,0,Ohio,Pickaway,39129
20,0,Indiana,Jennings,18079
3,0,Indiana,Sullivan,18153
15,0,Indiana,Lawrence,18093
1,3,Indiana,Crawford,18025
5,5,Indiana,Crawford,18025
1,0,Indiana,Crawford,18025
1,0,Indiana,Dearborn,18029
9,0,Indiana,Dearborn,18029
3,0,Indiana,Dearborn,18029
3,26,Indiana,Dearborn,18029
14,0,Indiana,Dearborn,18029
1,0,Indiana,Gibson,18051
1,0,Indiana,Gibson,18051
2,0,Indiana,Posey,18129
3,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
3,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
2,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
4,0,Indiana,Posey,18129
4,0,Indiana,Posey,18129
12,0,Indiana,Posey,18129
3,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
3,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
2,0,Indiana,Posey,18129
3,0,Indiana,Posey,18129
3,0,Indiana,Posey,18129
6,0,Indiana,Lawrence,18093
2,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
2,0,Indiana,Posey,18129
3,0,Indiana,Posey,18129
2,0,Indiana,Posey,18129
2,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
3,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
4,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
2,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
1,0,Indiana,Dearborn,18029
1,0,Indiana,Dearborn,18029
4,20,Indiana,Dearborn,18029
5,0,Indiana,Dearborn,18029
2,0,Indiana,Monroe,18105
1,0,Indiana,Fulton,18049
2,0,Indiana,Fulton,18049
4,0,Georgia,Clarke,13059
2,0,Indiana,Tippecanoe,18157
2,0,Indiana,Tippecanoe,18157
1,0,Indiana,Tippecanoe,18157
2,0,Kentucky,Union,21225
9,10,Indiana,White,18181
1,2,Indiana,White,18181
1,0,Ohio,Hamilton,39061
12,0,Kentucky,Henderson,21101
2,0,Kentucky,Henderson,21101
1,0,Indiana,Martin,18101
1,0,Indiana,Dubois,18037
5,15,Indiana,Dubois,18037
1,4,Indiana,Ohio,18115
1,0,Indiana,Vermillion,18165
2,9,Indiana,Vermillion,18165
7,3,Indiana,Vermillion,18165
11,25,Indiana,Vermillion,18165
1,0,Indiana,Vermillion,18165
1,0,Ohio,Hamilton,39061
1,3,Indiana,Kosciusko,18085
1,0,Indiana,Owen,18119
2,0,Kentucky,Hancock,21091
1,2,Indiana,Kosciusko,18085
3,0,Indiana,Kosciusko,18085
18,3,Ohio,Logan,39091
1,0,Kentucky,Meade,21163
1,6,Indiana,Perry,18123
2,0,Indiana,Perry,18123
1,0,Indiana,Perry,18123
1,0,Indiana,Warrick,18173
2,22,Indiana,Warrick,18173
1,0,Indiana,Warrick,18173
1,0,Indiana,Warrick,18173
4,0,Indiana,Warrick,18173
78,274,Indiana,Warrick,18173
2,11,Indiana,Warrick,18173
5,1,Indiana,Perry,18123
1,0,Indiana,Perry,18123
37,0,Indiana,Perry,18123
4,0,Indiana,Perry,18123
3,0,Indiana,Perry,18123
2,0,Indiana,Warrick,18173
1,0,Indiana,Warrick,18173
9,75,Indiana,Warrick,18173
1,0,Indiana,Warrick,18173
4,0,Indiana,Warrick,18173
2,0,Indiana,Warrick,18173
2,0,Indiana,Warrick,18173
2,1,Indiana,Warrick,18173
5,3,Indiana,Pike,18125
1,0,Indiana,Orange,18117
1,4,Indiana,Orange,18117
1,0,Indiana,Hancock,18059
8,0,Illinois,Clinton,17027
2,0,Indiana,Noble,18113
4,105,Indiana,Blackford,18009
7,0,Illinois,Jersey,17083
1,0,Illinois,Williamson,17199
17,858,Indiana,Dearborn,18029
1,2,Illinois,Rock Island,17161
4,0,Indiana,Vanderburgh,18163
2,0,Illinois,Morgan,17137
1,0,Illinois,Ogle,17141
1,0,Illinois,Winnebago,17201
1,0,Indiana,Marshall,18099
194,0,Illinois,Pike,17149
149,0,Illinois,Pike,17149
1,0,Illinois,Pike,17149
1,0,Illinois,Pike,17149
229,0,Illinois,Pike,17149
58,0,Illinois,Pike,17149
1,0,Illinois,Pike,17149
4,0,Illinois,Calhoun,17013
41,27,Illinois,Calhoun,17013
21,0,Indiana,Daviess,18027
6,126,Indiana,Daviess,18027
3,0,Illinois,Calhoun,17013
1,0,Illinois,Calhoun,17013
399,1,Illinois,Calhoun,17013
1,0,Illinois,Peoria,17143
5,0,Illinois,Peoria,17143
1,0,Illinois,Peoria,17143
2,0,Illinois,Peoria,17143
2,0,California,Santa Barbara,06083
41,1,Illinois,White,17193
1,0,Pennsylvania,Lebanon,42075
7,0,Illinois,Massac,17127
4,0,Illinois,Massac,17127
1,0,Indiana,St. Joseph,18141
2,0,Illinois,Massac,17127
5,5,Indiana,Kosciusko,18085
3,0,Indiana,Kosciusko,18085
6,0,Illinois,Marshall,17123
1,0,Illinois,Pulaski,17153
1,0,Indiana,Gibson,18051
1,0,Illinois,Pope,17151
2,0,Illinois,Clinton,17027
1,0,Illinois,Cook,17031
2,0,Indiana,Pike,18125
1,0,Indiana,Parke,18121
3,640,Indiana,Parke,18121
1,0,Kentucky,Christian,21047
3,0,Indiana,Shelby,18145
2,4,Indiana,Lawrence,18093
